player,team,slot,injury,pos_row,depth
JaQuae Jackson,LAC,WR4+,1,WR3,3
Mante Morrow,LAC,WR4+,1,WR3,4
Oronde Gadsden,LAC,TE1,1,TE,1
David Njoku,LAC,TE2,1,TE,2
Charlie Kolar,LAC,TE3,1,TE,3
Jerand Bradley,LAC,TE4,1,TE,4
Alec Ingold,LAC,FB1,1,FB,1
Scott Matlock,LAC,FB2,1,FB,2
Dak Prescott,DAL,QB1,0,QB,1
Joe Milton III,DAL,QB2,1,QB,2
Sam Howell,DAL,QB3,1,QB,3
Javonte Williams,DAL,RB1,1,RB,1
Malik Davis,DAL,RB2,1,RB,2
Jaydon Blue,DAL,RB3,1,RB,3
Phil Mafah,DAL,RB4,1,RB,4
CeeDee Lamb,DAL,WR1,1,WR1,1
KaVontae Turpin,DAL,WR4+,1,WR1,2
Anthony Smith,DAL,WR4+,1,WR1,3
Denzel Mims,DAL,WR4+,1,WR1,4
George Pickens,DAL,WR2,1,WR2,1
Marquez Valdes-Scantling,DAL,WR4+,1,WR2,2
Tyler Johnson,DAL,WR4+,1,WR2,3
Jordan Hudson,DAL,WR4+,1,WR2,4
Ryan Flournoy,DAL,WR3,1,WR3,1
Jonathan Mingo,DAL,WR4+,0,WR3,2
Traeshon Holden,DAL,WR4+,1,WR3,3
Camden Brown,DAL,WR4+,1,WR3,4
Jake Ferguson,DAL,TE1,1,TE,1
Brevyn Spann-Ford,DAL,TE2,1,TE,2
Luke Schoonmaker,DAL,TE3,1,TE,3
Princeton Fant,DAL,TE4,1,TE,4
Hunter Luepke,DAL,FB1,1,FB,1
Jaxson Dart,NYG,QB1,1,QB,1
Jameis Winston,NYG,QB2,1,QB,2
Brandon Allen,NYG,QB3,1,QB,3
Cam Skattebo,NYG,RB1,0,RB,1
Tyrone Tracy Jr.,NYG,RB2,1,RB,2
Devin Singletary,NYG,RB3,1,RB,3
Eric Gray,NYG,RB4,1,RB,4
Malik Nabers,NYG,WR1,0,WR1,1
Calvin Austin III,NYG,WR4+,1,WR1,2
Odell Beckham Jr.,NYG,WR4+,1,WR1,3
Jalin Hyatt,NYG,WR4+,1,WR1,4
Darius Slayton,NYG,WR2,0,WR2,1
Malachi Fields,NYG,WR4+,1,WR2,2
Isaiah Hodgins,NYG,WR4+,1,WR2,3
Beaux Collins,NYG,WR4+,0,WR2,4
Darnell Mooney,NYG,WR3,1,WR3,1
JuJu Smith-Schuster,NYG,WR4+,1,WR3,2
Braxton Berrios,NYG,WR4+,1,WR3,3
Dalen Cambre,NYG,WR4+,1,WR3,4
Isaiah Likely,NYG,TE1,1,TE,1
Theo Johnson,NYG,TE2,1,TE,2
Chris Manhertz,NYG,TE3,1,TE,3
