defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
DAL,2024,9,ATL,222,3,-11,86,18,7,7,59,0,0,2,27,5,88,3,28,1,9,1,11,0,0,0,0,1,1,1,1,0,0,0,0,211,163
DAL,2024,10,PHI,207,2,57,66,64,0,1,12,1,9,2,14,5,109,1,27,3,11,2,25,0,0,2,0,0,0,0,0,1,1,0,0,264,151
DAL,2024,11,HOU,257,0,26,109,2,4,2,44,1,11,4,54,4,54,3,33,2,13,5,33,2,15,0,3,0,0,0,0,0,0,0,1,283,166
DAL,2024,12,WAS,275,2,74,13,44,14,1,11,2,2,5,102,6,71,1,8,3,30,6,38,1,13,1,0,0,1,0,0,0,1,0,0,349,70
DAL,2024,13,NYG,178,0,57,32,23,4,2,33,0,0,8,69,2,6,2,8,2,8,5,54,0,0,1,1,0,0,0,0,0,0,0,0,235,88
DAL,2024,14,CIN,369,3,-2,58,4,14,6,65,1,7,14,177,2,23,4,41,0,0,3,24,3,32,0,1,0,2,0,0,0,0,0,0,367,134
DAL,2024,15,CAR,219,1,12,32,14,2,4,17,0,0,2,7,2,19,5,51,4,110,0,0,2,15,1,0,0,0,0,0,1,0,0,0,231,63
DAL,2024,16,TB,303,2,42,68,10,14,3,24,7,50,5,69,1,20,5,57,5,54,5,29,0,0,0,1,0,0,0,1,1,0,0,0,345,152
DAL,2024,17,PHI,197,3,1,167,11,0,2,2,1,5,3,36,6,120,0,0,0,0,1,34,0,0,1,0,0,1,2,0,0,0,0,1,198,185
DAL,2024,18,WAS,199,2,83,10,12,8,1,6,2,20,8,62,2,51,3,16,0,0,5,44,0,0,1,0,0,1,0,0,0,1,0,0,282,48
DEN,2024,1,SEA,171,1,30,103,12,1,2,6,2,29,6,77,3,29,2,19,1,0,2,11,0,0,1,1,1,0,0,0,0,0,0,0,201,150
DEN,2024,2,PIT,117,1,27,69,45,0,1,5,2,19,2,29,2,14,1,6,0,0,4,39,1,5,0,0,0,0,0,0,0,0,1,0,144,138
DEN,2024,3,TB,163,1,0,17,74,0,5,18,3,14,6,53,2,17,1,6,0,0,7,47,1,8,0,0,0,1,0,0,0,0,0,0,163,123
DEN,2024,4,NYJ,225,0,26,4,34,0,2,14,1,12,5,41,5,58,4,67,1,6,4,17,2,10,0,0,0,0,0,0,0,0,0,0,251,64
